ID;Согласие;Приоритет;Физика;Русский;Математика;ИД;Сумма;ФИО
10047;true;1;73;92;67;0;232;Лебедев Роман Максимович
10048;true;1;63;73;84;2;222;Новикова Светлана Ивановна
10049;true;1;88;92;94;8;282;Алексеева Екатерина Артёмовна
10050;true;1;69;67;57;9;202;Кузнецова Полина Михайловна
10051;false;1;68;89;94;7;258;Морозов Егор Максимович
10052;true;1;92;65;80;7;244;Егорова Светлана Никитовна
10053;false;1;97;69;98;2;266;Костина Дарья Кирилловна
10054;true;1;78;100;72;2;252;Соколова Ольга Ивановна
10055;true;1;63;97;75;8;243;Козлова Анна Кирилловна
10056;false;1;91;56;80;1;228;Егорова Мария Никитовна
10057;true;1;51;76;100;6;233;Михайлова Татьяна Никитовна
10058;false;1;96;80;80;0;256;Семенова Мария Андреевна
10059;false;1;78;99;71;2;250;Морозов Егор Андреевич
10060;true;1;81;62;90;0;233;Семенов Даниил Кириллович
10061;true;2;52;65;75;8;200;Иванов Егор Сергеевич
10062;false;2;89;68;100;9;266;Сидоров Илья Дмитриевич
10063;true;2;81;64;96;0;241;Костина Светлана Максимовна
10064;true;2;100;52;89;5;246;Смирнова Юлия Артёмовна
10065;true;2;89;57;98;0;244;Новикова Елена Сергеевна
10066;true;2;84;60;62;10;216;Сидорова Ольга Артёмовна
10067;true;2;50;60;68;9;187;Волков Матвей Максимович
10068;false;2;84;78;64;9;235;Федорова Полина Дмитриевна
10069;true;2;94;69;78;4;245;Попов Иван Иванович
10070;true;2;64;67;55;8;194;Иванов Матвей Никитович
10071;true;2;55;86;55;3;199;Новиков Даниил Александрович
10072;false;2;86;77;76;9;248;Алексеева Елена Артёмовна
10073;false;2;77;67;95;0;239;Егорова Екатерина Андреевна
10074;true;2;83;84;71;7;245;Михайлов Никита Дмитриевич
10075;false;2;100;74;69;0;243;Кузнецова Светлана Михайловна
10076;true;2;63;59;65;0;187;Егорова Наталья Дмитриевна
10077;false;2;83;80;55;3;221;Васильев Роман Дмитриевич
10078;false;2;70;84;55;4;213;Васильев Дмитрий Никитович
10079;true;2;83;89;96;9;277;Михайлов Никита Иванович
10080;false;2;87;61;65;3;216;Новиков Илья Максимович
10081;true;2;67;54;96;6;223;Егоров Иван Андреевич
10082;true;2;99;97;100;4;300;Сидоров Сергей Никитович
10083;true;2;57;92;94;1;244;Егорова Полина Артёмовна
10084;false;2;81;84;72;2;239;Федорова Елена Максимовна
10085;true;2;96;60;80;8;244;Алексеева Елена Андреевна
10086;false;2;96;56;96;2;250;Михайлов Михаил Максимович
10087;false;2;95;94;69;10;268;Васильев Роман Иванович
10088;true;2;84;81;89;3;257;Васильев Кирилл Дмитриевич
10089;true;2;96;56;84;3;239;Семенова Елена Сергеевна
10090;true;2;100;77;87;7;271;Лебедев Сергей Андреевич
10091;true;2;68;93;81;0;242;Морозова Анна Михайловна
10092;false;2;78;62;80;1;221;Соколов Артем Андреевич
10093;false;2;54;88;99;8;249;Кузнецов Максим Кириллович
10094;true;2;63;60;68;7;198;Морозов Михаил Кириллович
10095;true;2;65;90;95;4;254;Михайлова Ольга Сергеевна
10096;true;2;84;88;80;10;262;Костин Иван Кириллович
10097;true;2;65;66;62;10;203;Семенов Максим Никитович
10098;true;2;86;96;92;10;284;Петров Даниил Никитович
10099;true;2;84;50;61;9;204;Костина Дарья Сергеевна
10100;false;2;96;68;85;3;252;Михайлов Иван Андреевич
10101;true;2;64;97;62;5;228;Смирнов Максим Дмитриевич
10102;true;2;71;63;89;2;225;Михайлова Ольга Кирилловна
10103;true;2;50;70;61;0;181;Васильев Даниил Андреевич
10104;true;2;59;52;54;0;165;Костина Татьяна Сергеевна
10105;true;2;72;96;84;7;259;Новикова Наталья Максимовна
10106;true;2;79;56;58;0;193;Егоров Кирилл Андреевич
10107;true;2;54;58;96;2;210;Новикова Юлия Дмитриевна
10108;true;2;67;94;62;6;229;Соколов Иван Максимович
10109;true;2;65;58;69;2;194;Семенов Илья Артёмович
10110;false;2;59;99;83;5;246;Семенова Анна Кирилловна
10111;false;2;77;76;82;9;244;Кузнецов Дмитрий Кириллович
10112;true;2;79;98;82;7;266;Лебедева Екатерина Никитовна
10113;false;2;93;96;80;5;274;Федоров Даниил Никитович
10114;true;2;96;52;97;9;254;Васильев Михаил Александрович
10115;false;2;80;76;77;9;242;Павлов Матвей Кириллович
10116;true;2;56;75;55;2;188;Семенов Дмитрий Никитович
10117;true;2;79;57;71;0;207;Волков Егор Дмитриевич
10118;false;2;50;73;77;3;203;Козлов Никита Андреевич
10119;true;2;89;61;71;9;230;Павлова Дарья Кирилловна
10120;false;2;69;65;81;2;217;Федоров Максим Сергеевич
10121;false;2;78;90;58;4;230;Смирнов Сергей Андреевич
10122;false;2;58;100;66;1;225;Федорова Екатерина Сергеевна
10123;true;2;75;65;84;7;231;Федорова Алина Михайловна
10124;true;2;66;64;100;9;239;Козлова Татьяна Максимовна
10125;false;2;54;54;99;5;212;Новиков Сергей Артёмович
10126;true;2;60;60;98;7;225;Егоров Андрей Максимович
10127;true;2;95;57;96;4;252;Новиков Сергей Александрович
10128;true;2;80;54;63;10;207;Смирнов Андрей Андреевич
10129;false;2;56;53;71;7;187;Михайлов Сергей Дмитриевич
10130;true;2;88;70;88;1;247;Иванова Дарья Михайловна
10131;true;2;71;96;71;3;241;Волкова Татьяна Дмитриевна
10132;true;2;95;79;84;8;266;Алексеев Максим Кириллович
10133;true;2;69;85;92;5;251;Семенов Артем Иванович
10134;false;2;62;70;68;0;200;Костин Матвей Никитович
10135;true;2;94;70;65;2;231;Сидоров Дмитрий Артёмович
10136;false;2;60;71;82;2;215;Иванов Роман Иванович
10137;true;2;60;75;74;6;215;Алексеева Софья Кирилловна
10138;true;2;57;91;69;7;224;Сидоров Матвей Михайлович
10139;false;2;75;58;77;0;210;Козлова Полина Кирилловна
10140;false;2;73;66;50;9;198;Петров Андрей Артёмович
10141;true;2;87;89;65;2;243;Федоров Артем Максимович
10142;true;2;89;87;55;6;237;Костин Сергей Сергеевич
10143;true;2;71;87;78;4;240;Попов Андрей Дмитриевич
10144;true;2;78;62;82;8;230;Павлов Андрей Михайлович
10145;true;2;64;91;83;3;241;Морозова Екатерина Никитовна
10146;true;2;84;60;61;9;214;Иванов Роман Александрович
10147;true;2;60;66;79;2;207;Смирнов Егор Александрович
10148;true;2;79;87;63;5;234;Кузнецова Виктория Максимовна
10149;true;2;74;71;73;3;221;Павлова Софья Никитовна
10150;false;2;95;81;57;8;241;Новиков Михаил Иванович
10151;true;2;80;59;80;6;225;Смирнова Виктория Сергеевна
10152;true;2;58;72;87;1;218;Костин Максим Михайлович
10153;true;2;73;83;79;2;237;Волкова Татьяна Дмитриевна
10154;true;2;78;74;96;2;250;Иванова Софья Ивановна
10155;false;2;63;66;73;8;210;Иванов Александр Михайлович
10156;true;2;65;95;65;0;225;Васильев Иван Андреевич
10157;true;2;69;81;87;5;242;Павлов Егор Кириллович
10158;true;2;100;79;91;3;273;Козлов Иван Никитович
10159;false;2;96;56;73;10;235;Федорова Полина Максимовна
10160;true;2;85;55;77;9;226;Алексеев Роман Дмитриевич
10161;true;3;93;56;79;10;238;Лебедева Светлана Михайловна
10162;true;3;76;68;71;9;224;Егорова Светлана Артёмовна
10163;false;3;96;77;97;4;274;Костина Ольга Артёмовна
10164;true;3;50;52;95;2;199;Костина Ирина Никитовна
10165;true;3;58;80;100;6;244;Попова Светлана Никитовна
10166;true;3;62;62;89;0;213;Михайлов Матвей Александрович
10167;true;3;84;79;100;6;269;Козлов Максим Кириллович
10168;true;3;70;97;75;8;250;Павлова Елена Дмитриевна
10169;false;3;55;70;83;5;213;Михайлова Ольга Максимовна
10170;false;3;88;87;93;9;277;Лебедев Егор Дмитриевич
10171;true;3;84;69;96;7;256;Васильева Ольга Андреевна
10172;true;3;72;57;74;10;213;Новикова Екатерина Артёмовна
10173;true;3;73;81;98;3;255;Кузнецов Михаил Андреевич
10174;true;3;50;91;98;9;248;Костина Юлия Александровна
10175;true;3;50;55;58;4;167;Алексеева Софья Александровна
10176;true;3;60;58;92;8;218;Егорова Софья Андреевна
10177;true;3;54;76;85;3;218;Михайлова Ольга Никитовна
10178;false;3;87;86;83;5;261;Лебедев Роман Иванович
10179;true;3;67;69;62;5;203;Попов Михаил Александрович
10180;true;3;67;87;60;8;222;Алексеева Виктория Сергеевна
10181;false;3;61;85;60;8;214;Михайлова Полина Ивановна
10182;true;3;72;61;93;9;235;Костина Елена Андреевна
10183;false;3;76;88;60;0;224;Семенов Роман Андреевич
10184;true;3;93;68;87;6;254;Соколова Виктория Дмитриевна
10185;true;3;91;80;93;7;271;Сидоров Даниил Артёмович
10186;false;3;56;88;66;7;217;Козлов Матвей Александрович
10187;false;3;51;51;65;6;173;Козлова Ольга Артёмовна
10188;true;3;93;88;68;6;255;Волков Кирилл Сергеевич
10189;true;3;79;71;58;5;213;Сидоров Кирилл Михайлович
10190;false;3;55;74;58;0;187;Новиков Андрей Иванович
10191;true;3;95;64;52;10;221;Павлова Виктория Максимовна
10192;false;3;64;94;61;5;224;Васильева Светлана Ивановна
10193;true;3;61;73;74;0;208;Петрова Дарья Андреевна
10194;false;3;56;74;53;7;190;Морозова Анна Максимовна
10195;true;3;81;88;87;0;256;Смирнова Екатерина Максимовна
10196;true;3;81;60;91;8;240;Федоров Андрей Кириллович
10197;true;3;93;71;82;7;253;Алексеев Дмитрий Артёмович
10198;true;3;94;68;93;2;257;Попов Егор Дмитриевич
10199;true;3;86;61;56;0;203;Новиков Егор Андреевич
10200;true;3;65;56;78;9;208;Новикова Юлия Никитовна
10201;true;3;60;98;100;10;268;Смирнова Елена Дмитриевна
10202;true;3;76;71;51;9;207;Сидорова Мария Андреевна
10203;true;3;99;55;50;6;210;Сидорова Мария Дмитриевна
10204;false;3;86;59;74;4;223;Смирнова Софья Александровна
10205;true;3;100;83;55;7;245;Волков Илья Максимович
10206;true;4;64;94;77;4;239;Федорова Мария Сергеевна
10207;false;4;76;94;70;4;244;Лебедева Ирина Артёмовна
10208;false;4;68;56;59;4;187;Кузнецова Ирина Артёмовна
10209;true;4;87;58;63;2;210;Кузнецов Александр Дмитриевич
10210;true;4;53;75;56;4;188;Михайлова Наталья Максимовна
10211;true;4;88;76;91;10;265;Соколов Александр Кириллович
10212;true;4;88;63;65;4;220;Волкова Наталья Ивановна
10213;false;4;97;82;95;6;280;Алексеева Анна Максимовна
10214;true;4;83;63;50;9;205;Соколова Софья Дмитриевна
10215;false;4;95;54;85;1;235;Иванова Полина Кирилловна
10216;true;4;79;53;52;10;194;Васильева Светлана Кирилловна
10217;false;4;97;55;83;7;242;Федоров Дмитрий Иванович
10218;true;4;64;62;87;3;216;Алексеев Матвей Иванович
10219;true;4;91;93;97;1;282;Козлов Иван Иванович
10220;false;4;92;68;67;7;234;Лебедев Егор Александрович
10221;true;4;79;54;95;3;231;Егоров Никита Дмитриевич
10222;false;4;52;70;72;3;197;Егоров Максим Дмитриевич
10223;false;4;88;94;90;10;282;Павлова Татьяна Максимовна
10224;false;4;97;84;85;3;269;Алексеева Полина Ивановна
10225;true;4;60;77;55;4;196;Морозов Илья Сергеевич
10226;true;4;99;89;73;7;268;Федорова Светлана Кирилловна
10227;true;4;86;58;56;5;205;Костин Сергей Кириллович
10228;false;4;89;91;77;7;264;Соколова Екатерина Сергеевна
10229;true;4;100;63;71;3;237;Козлова Дарья Ивановна
10230;true;4;61;94;91;6;252;Соколов Матвей Михайлович
10231;true;4;88;65;80;0;233;Новикова Татьяна Кирилловна
10232;true;4;83;83;96;7;269;Соколова Дарья Дмитриевна
10233;true;4;51;76;55;3;185;Морозов Михаил Артёмович
10234;false;4;85;69;89;5;248;Морозова Наталья Артёмовна
10235;true;4;60;61;68;1;190;Соколов Дмитрий Дмитриевич
